timestamp,pub_timestamp,publisher_id,geofence_max_dist_triggered,geofence_max_alt_triggered,geofence_custom_fence_triggered,geofence_action
1771685457172000,1771685457172000,96,0,0,0,2
1771685457420000,1771685457420000,96,0,0,0,2
1771685457668000,1771685457668000,96,0,0,0,2
1771685457876000,1771685457876000,96,0,0,0,2
1771685458124000,1771685458124000,96,0,0,0,2
1771685458380000,1771685458380000,96,0,0,0,2
1771685458628000,1771685458628000,96,0,0,0,2
1771685458836000,1771685458836000,96,0,0,0,2
1771685459084000,1771685459084000,96,0,0,0,2
1771685459332000,1771685459332000,96,0,0,0,2
1771685459588000,1771685459588000,96,0,0,0,2
1771685459796000,1771685459796000,96,0,0,0,2
1771685460044000,1771685460044000,96,0,0,0,2
1771685460292000,1771685460292000,96,0,0,0,2
1771685460540000,1771685460540000,96,0,0,0,2
1771685460748000,1771685460748000,96,0,0,0,2
1771685461004000,1771685461004000,96,0,0,0,2
1771685461252000,1771685461252000,96,0,0,0,2
1771685461500000,1771685461500000,96,0,0,0,2
1771685461748000,1771685461748000,96,0,0,0,2
1771685461956000,1771685461956000,96,0,0,0,2
1771685462212000,1771685462212000,96,0,0,0,2
1771685462460000,1771685462460000,96,0,0,0,2
1771685462708000,1771685462708000,96,0,0,0,2
1771685462916000,1771685462916000,96,0,0,0,2
1771685463164000,1771685463164000,96,0,0,0,2
1771685463420000,1771685463420000,96,0,0,0,2
1771685463668000,1771685463668000,96,0,0,0,2
1771685463876000,1771685463876000,96,0,0,0,2
1771685464124000,1771685464124000,96,0,0,0,2
1771685464372000,1771685464372000,96,0,0,0,2
1771685464628000,1771685464628000,96,0,0,0,2
1771685464836000,1771685464836000,96,0,0,0,2
1771685465084000,1771685465084000,96,0,0,0,2
1771685465332000,1771685465332000,96,0,0,0,2
1771685465580000,1771685465580000,96,0,0,0,2
1771685465788000,1771685465788000,96,0,0,0,2
1771685466044000,1771685466044000,96,0,0,0,2
1771685466292000,1771685466292000,96,0,0,0,2
1771685466540000,1771685466540000,96,0,0,0,2
1771685466788000,1771685466788000,96,0,0,0,2
1771685466996000,1771685466996000,96,0,0,0,2
1771685467252000,1771685467252000,96,0,0,0,2
